iter	MultiClassOneVsAll	F1:class=0	F1:class=1	F1:class=2	F1:class=3
271	-0.3828500124	0.7952245594	0.06493506494	0.377672209	0.3313763862
272	-0.3826736217	0.7954519613	0.0680713128	0.3797619048	0.3333333333
273	-0.3824987495	0.7958139006	0.0680713128	0.3788598575	0.3359375
274	-0.3823732136	0.7959044369	0.0680713128	0.3807829181	0.3348534202
275	-0.3822332673	0.7959949937	0.06493506494	0.3810089021	0.3368010403
276	-0.3821271539	0.7957674366	0.06493506494	0.3800475059	0.3378817414
277	-0.3820725899	0.7958579882	0.06493506494	0.3812351544	0.338961039
278	-0.3819962517	0.7960855712	0.06493506494	0.3824228029	0.338961039
279	-0.3818641284	0.7959044369	0.06493506494	0.3802733214	0.3378817414
280	-0.3817149405	0.7958579882	0.0680713128	0.382928275	0.3346354167
281	-0.3815905436	0.7956769056	0.07108239095	0.3810089021	0.333767927
282	-0.3814444047	0.7959485604	0.07419354839	0.3816884661	0.3391812865
283	-0.3813199589	0.7959485604	0.06796116505	0.3812351544	0.3365821962
284	-0.3811450997	0.7965831435	0.07419354839	0.384341637	0.3372243839
285	-0.3809826785	0.7964924268	0.07729468599	0.3847980998	0.3385214008
286	-0.3808868953	0.7964924268	0.07729468599	0.3855278766	0.338961039
287	-0.3807531013	0.7964924268	0.07419354839	0.3841138115	0.3376623377
288	-0.3806335341	0.7966738809	0.0834670947	0.3864848844	0.3391812865
289	-0.3805134505	0.7966738809	0.0834670947	0.3847980998	0.3385214008
290	-0.3803932868	0.7966738809	0.0834670947	0.3857566766	0.3374432187
291	-0.3802512747	0.7967646389	0.08653846154	0.3845697329	0.3387410772
292	-0.3801185859	0.7968554176	0.0834670947	0.3845697329	0.3408943616
293	-0.3800381547	0.7968554176	0.0834670947	0.3857566766	0.3421905379
294	-0.3799203178	0.7972187393	0.0834670947	0.3883955003	0.3434867142
295	-0.3797358072	0.7974914481	0.08038585209	0.3919716647	0.3450064851
296	-0.3795891719	0.7972187393	0.07729468599	0.3907637655	0.3443365696
297	-0.379445291	0.7974005245	0.0834670947	0.3902728351	0.3488372093
298	-0.3792334175	0.7980835044	0.08038585209	0.3945658594	0.3516483516
299	-0.3791041496	0.7979463776	0.08038585209	0.3928994083	0.3494519665
300	-0.3789631492	0.798173516	0.08333333333	0.3924125667	0.3545279383
301	-0.3788210885	0.7982646421	0.0864	0.3940652819	0.3553559974
302	-0.3786943018	0.7984929787	0.0864	0.3952522255	0.3566388711
303	-0.3785033862	0.7982646421	0.0864	0.3933452169	0.3574631646
304	-0.3783601708	0.7980824107	0.08653846154	0.3916913947	0.3581514763
305	-0.3782525745	0.7982646421	0.08653846154	0.393831554	0.3579217447
306	-0.3780781335	0.7984009138	0.0864	0.394549763	0.3602564103
307	-0.377932653	0.7986745887	0.08945686901	0.3957471943	0.3609505459
308	-0.3778400143	0.7987658553	0.0864	0.3959810875	0.3628205128
309	-0.3776713144	0.7987651498	0.0923566879	0.3990582696	0.361414791
310	-0.3775604274	0.7990851915	0.0923566879	0.3992932862	0.3622350674
311	-0.377427905	0.7989938257	0.09538950715	0.3997641509	0.3622350674
312	-0.3773059529	0.7994049662	0.09538950715	0.4002354326	0.3651505445
313	-0.3772324142	0.7990392314	0.09841269841	0.3997641509	0.3643361129
314	-0.3770615493	0.7992679858	0.0956937799	0.4016489988	0.3653846154
315	-0.376972375	0.799222057	0.09856915739	0.4042427814	0.3651505445
316	-0.3767883386	0.7992675669	0.1015873016	0.403539823	0.3680511182
317	-0.376679476	0.7994505495	0.1044303797	0.4061393152	0.3690932312
318	-0.3766135105	0.7996794872	0.1045958796	0.4066193853	0.3722115997
319	-0.3765073605	0.7998168708	0.1045958796	0.4063792085	0.370134014
320	-0.376407932	0.7995879593	0.1045958796	0.4049586777	0.3690932312
321	-0.3762913923	0.7996794872	0.1045958796	0.4054373522	0.3722115997
