iter	MultiClassOneVsAll	MultiClassOneVsAll
659	-0.348224863	-0.348224863
660	-0.3481711787	-0.3481711787
661	-0.3480808101	-0.3480808101
662	-0.3479830613	-0.3479830613
663	-0.3479233077	-0.3479233077
664	-0.3478390435	-0.3478390435
665	-0.3477627674	-0.3477627674
666	-0.347679477	-0.347679477
667	-0.3475907004	-0.3475907004
668	-0.3474952328	-0.3474952328
669	-0.3474027651	-0.3474027651
670	-0.3473464525	-0.3473464525
671	-0.3472858822	-0.3472858822
672	-0.347230045	-0.347230045
673	-0.3471436529	-0.3471436529
674	-0.3470985618	-0.3470985618
675	-0.3469802231	-0.3469802231
676	-0.3469299974	-0.3469299974
677	-0.3468593932	-0.3468593932
678	-0.346784106	-0.346784106
679	-0.3466938308	-0.3466938308
680	-0.3466059357	-0.3466059357
681	-0.3465250763	-0.3465250763
682	-0.3464434892	-0.3464434892
683	-0.3463690874	-0.3463690874
684	-0.3463118793	-0.3463118793
685	-0.3461829637	-0.3461829637
686	-0.346126245	-0.346126245
687	-0.3460406372	-0.3460406372
688	-0.3459976932	-0.3459976932
689	-0.3459503769	-0.3459503769
690	-0.3458904278	-0.3458904278
691	-0.3458159282	-0.3458159282
692	-0.3457094971	-0.3457094971
693	-0.3456707061	-0.3456707061
694	-0.3455838954	-0.3455838954
695	-0.3454772197	-0.3454772197
696	-0.3454102255	-0.3454102255
697	-0.3453406648	-0.3453406648
698	-0.345267361	-0.345267361
699	-0.3451885341	-0.3451885341
700	-0.3451217902	-0.3451217902
701	-0.345019992	-0.345019992
702	-0.3449336205	-0.3449336205
703	-0.3448146066	-0.3448146066
704	-0.3447152733	-0.3447152733
705	-0.3446437702	-0.3446437702
706	-0.3446164566	-0.3446164566
707	-0.3445266604	-0.3445266604
708	-0.3444464465	-0.3444464465
709	-0.3443541672	-0.3443541672
710	-0.3442521903	-0.3442521903
711	-0.3441609964	-0.3441609964
712	-0.344104287	-0.344104287
713	-0.3440013424	-0.3440013424
714	-0.3439174786	-0.3439174786
715	-0.3438367963	-0.3438367963
716	-0.3437775055	-0.3437775055
717	-0.3437125713	-0.3437125713
718	-0.3435615733	-0.3435615733
719	-0.343512386	-0.343512386
720	-0.3434055527	-0.3434055527
721	-0.3433463366	-0.3433463366
722	-0.3432215791	-0.3432215791
723	-0.3431720054	-0.3431720054
724	-0.343121163	-0.343121163
725	-0.3430508298	-0.3430508298
726	-0.3429529779	-0.3429529779
727	-0.3428937535	-0.3428937535
728	-0.3428529177	-0.3428529177
729	-0.3427951014	-0.3427951014
730	-0.3427345061	-0.3427345061
731	-0.342660415	-0.342660415
732	-0.3425782973	-0.3425782973
733	-0.3425284657	-0.3425284657
734	-0.3424503791	-0.3424503791
735	-0.3423861634	-0.3423861634
736	-0.3423216626	-0.3423216626
737	-0.3422978949	-0.3422978949
738	-0.3422444999	-0.3422444999
739	-0.3421615702	-0.3421615702
740	-0.3420998563	-0.3420998563
741	-0.3420252491	-0.3420252491
742	-0.3419578177	-0.3419578177
743	-0.3418507202	-0.3418507202
744	-0.3417581267	-0.3417581267
745	-0.3417099533	-0.3417099533
746	-0.3416519582	-0.3416519582
747	-0.3416044113	-0.3416044113
748	-0.3415025942	-0.3415025942
749	-0.3414406754	-0.3414406754
750	-0.3413470651	-0.3413470651
751	-0.3412447893	-0.3412447893
752	-0.3411652598	-0.3411652598
753	-0.3411055554	-0.3411055554
754	-0.3410401453	-0.3410401453
755	-0.3409401314	-0.3409401314
756	-0.3408658438	-0.3408658438
757	-0.3407904125	-0.3407904125
758	-0.3407535674	-0.3407535674
759	-0.3406847892	-0.3406847892
760	-0.3406084373	-0.3406084373
761	-0.3405642877	-0.3405642877
762	-0.3405157061	-0.3405157061
763	-0.3404634409	-0.3404634409
764	-0.3403706007	-0.3403706007
765	-0.3402845717	-0.3402845717
766	-0.3401814672	-0.3401814672
767	-0.3401141398	-0.3401141398
768	-0.3400438245	-0.3400438245
769	-0.3399509965	-0.3399509965
770	-0.3398460615	-0.3398460615
771	-0.3397935911	-0.3397935911
772	-0.3397595004	-0.3397595004
773	-0.3396971095	-0.3396971095
774	-0.3396131882	-0.3396131882
775	-0.3395668394	-0.3395668394
776	-0.339475708	-0.339475708
777	-0.339404856	-0.339404856
778	-0.3393330951	-0.3393330951
